comp,int
300,22.509
300.5,26.7911
301,32.1526
301.5,38.8955
302,39.6974
302.5,33.3185
303,23.2067
303.5,14.699
304,8.1593
304.5,4.0783
305,2.7461
305.5,2.3439
306,2.402
306.5,1.9608
307,1.5881
307.5,1.1509
308,1.1536
308.5,1.1935
309,1.0536
309.5,1.3205
310,1.0549
310.5,1.2746
311,1.2007
311.5,1.7534
312,1.8216
312.5,1.9146
313,1.5623
313.5,1.2179
314,1.0221
314.5,1.3779
315,1.5856
315.5,1.7487
316,2.0528
316.5,1.9385
317,1.9829
317.5,1.7649
318,1.6045
318.5,1.599
319,1.813
319.5,2.3416
320,2.8142
320.5,4.4247
321,6.7101
321.5,10.9141
322,15.1731
322.5,18.0301
323,17.9838
323.5,16.2226
324,11.8359
324.5,7.4713
325,4.448
325.5,3.5583
326,2.8007
326.5,2.6553
327,2.3665
327.5,2.2241
328,2.3056
328.5,2.7133
329,2.6951
329.5,2.6441
330,2.6989
330.5,2.6307
331,2.4353
331.5,2.6397
332,2.9995
332.5,2.9657
333,2.6144
333.5,2.6897
334,2.8072
334.5,2.9303
335,2.8952
335.5,3.108
336,3.1315
336.5,2.8173
337,2.2309
337.5,2.2748
338,2.7263
338.5,3.059
339,2.8625
339.5,2.7487
340,2.8691
340.5,3.1479
341,2.992
341.5,2.4283
342,2.3258
342.5,2.7592
343,3.1199
343.5,2.915
344,2.979
344.5,3.3285
345,3.4475
345.5,3.065
346,2.7291
346.5,3.0064
347,3.2561
347.5,3.4263
348,3.7876
348.5,4.5932
349,4.8543
349.5,4.2537
350,9.2702
350.5,20.8784
351,100.9639
351.5,202.12
352,461.9176
352.5,768.8203
353,997.5632
353.5,999.999
354,999.999
354.5,849.7296
355,562.3411
355.5,286.3813
356,170.5341
356.5,86.2805
357,41.8689
357.5,15.9947
358,8.6333
358.5,5.269
359,5.0574
359.5,4.8817
360,4.5262
360.5,4.0193
361,3.6176
361.5,3.7379
362,3.7256
362.5,3.4805
363,3.2064
363.5,3.2054
364,3.2905
364.5,3.0897
365,3.2137
365.5,3.3218
366,3.3063
366.5,3.1639
367,3.3133
367.5,3.5175
368,3.5609
368.5,3.3496
369,3.2682
369.5,3.2016
370,3.3401
370.5,3.2512
371,3.3977
371.5,3.7008
372,3.7501
372.5,3.4643
373,3.2556
373.5,3.3749
374,3.5734
374.5,3.6168
375,3.3625
375.5,3.1957
376,3.2864
376.5,3.4538
377,3.9234
377.5,4.6221
378,5.2197
378.5,5.3859
379,5.4125
379.5,5.2352
380,5.0975
380.5,4.8397
381,4.5856
381.5,4.3455
382,4.3356
382.5,4.4721
383,4.7457
383.5,4.9531
384,4.8695
384.5,4.8993
385,5.1468
385.5,5.5102
386,6.223
386.5,6.6905
387,7.1225
387.5,6.7633
388,6.4346
388.5,5.6683
389,4.6729
389.5,6.5591
390,15.215
390.5,72.4829
391,185.2223
391.5,350.551
392,638.3476
392.5,903.0505
393,999.999
393.5,999.999
394,905.3076
394.5,661.8232
395,397.2788
395.5,249.6866
396,214.1546
396.5,189.1273
397,155.5671
397.5,118.7209
398,79.5574
398.5,45.9205
399,22.5105
399.5,9.1866
400,5.1089
400.5,4.8997
401,5.3635
401.5,5.2604
402,5.0067
402.5,5.2186
403,5.9957
403.5,6.6014
404,8.2133
404.5,10.1146
405,10.4185
405.5,8.7245
406,6.9257
406.5,7.4995
407,9.6107
407.5,11.4512
408,12.2707
408.5,12.9325
409,13.0949
409.5,11.3442
410,8.6602
410.5,6.2902
411,5.4441
411.5,4.7814
412,4.6699
412.5,4.8231
413,5.4191
413.5,5.4671
414,5.5758
414.5,6.0846
415,6.9854
415.5,8.0009
416,8.0825
416.5,7.5296
417,6.4931
417.5,6.3333
418,6.4752
418.5,6.4255
419,5.8401
419.5,5.9927
420,7.766
420.5,10.3983
421,14.8187
421.5,22.522
422,163.5524
422.5,526.9407
423,884.663
423.5,999.999
424,999.999
424.5,999.999
425,999.999
425.5,999.999
426,999.999
426.5,933.0013
427,584.672
427.5,196.96
428,32.4159
428.5,27.3573
429,15.9344
429.5,7.0882
430,5.9042
430.5,5.5929
431,5.4932
431.5,5.4135
432,5.3946
432.5,5.1397
433,4.8437
433.5,4.6224
434,4.2437
434.5,3.88
435,3.8406
435.5,4.2083
436,4.1101
436.5,4.3725
437,4.2832
437.5,4.2435
438,4.0685
438.5,4.4488
439,4.9672
439.5,5.2013
440,4.7649
440.5,4.5095
441,4.7688
441.5,5.1954
442,4.7958
442.5,4.3749
443,3.9516
443.5,4.3854
444,4.5597
444.5,4.4399
445,4.0623
445.5,3.7522
446,3.4533
446.5,3.2873
447,3.5719
447.5,3.5618
448,3.6863
448.5,3.7332
449,3.7851
449.5,3.3913
450,3.283
450.5,3.4311
451,3.7151
451.5,3.425
452,3.4471
452.5,3.6182
453,3.5592
453.5,3.3352
454,3.2379
454.5,3.3736
455,3.5446
455.5,3.8374
456,3.231
456.5,2.7424
457,2.9017
457.5,3.3609
458,3.3487
458.5,3.187
459,2.9755
459.5,3.369
460,3.6599
460.5,3.5595
461,3.0391
461.5,2.9932
462,3.2108
462.5,3.2467
463,3.3643
463.5,3.3052
464,3.3107
464.5,3.1141
465,3.1575
465.5,3.4024
466,3.2306
466.5,3.2116
467,3.1163
467.5,3.2125
468,3.1039
468.5,3.2524
469,3.1565
469.5,3.2845
470,3.342
470.5,3.3693
471,3.3606
471.5,3.4007
472,3.2392
472.5,3.1828
473,3.1965
473.5,3.0612
474,3.0997
474.5,2.7668
475,2.6141
475.5,2.6769
476,3.2682
476.5,3.2424
477,3.1759
477.5,3.4164
478,3.7559
478.5,3.8295
479,4.2841
479.5,5.3796
480,6.9458
480.5,8.1833
481,9.244
481.5,9.4019
482,8.5313
482.5,6.9818
483,5.5419
483.5,4.825
484,4.3575
484.5,3.7278
485,2.9036
485.5,2.4713
486,2.6621
486.5,2.9994
487,2.8108
487.5,2.8435
488,2.9963
488.5,3.2375
489,3.0704
489.5,3.0764
490,3.1147
490.5,3.1149
491,3.1352
491.5,3.0638
492,3.0395
492.5,3.0785
493,3.109
493.5,3.2905
494,3.3855
494.5,3.1256
495,3.0417
495.5,3.3492
496,3.7278
496.5,3.5074
497,3.2633
497.5,3.0669
498,2.9925
498.5,2.7391
499,2.3897
499.5,2.1945
500,2.2101
500.5,2.6527
501,3.1497
501.5,2.9347
502,2.4402
502.5,2.6233
503,3.301
503.5,3.203
504,2.9978
504.5,2.7286
505,2.6181
505.5,2.3759
506,2.282
506.5,2.7588
507,2.8692
507.5,3.0185
508,2.5775
508.5,2.9065
509,2.2189
509.5,2.1621
510,2.3432
510.5,2.8642
511,2.6018
511.5,2.1262
512,2.2636
512.5,2.4422
513,2.876
513.5,2.3887
514,2.5097
514.5,2.8313
515,3.063
515.5,2.3473
516,1.9293
516.5,1.9357
517,2.4707
517.5,2.3952
518,2.3427
518.5,2.214
519,2.0727
519.5,1.7543
520,1.3774
520.5,1.516
521,1.7453
521.5,1.7341
522,1.9014
522.5,2.224
523,2.9489
523.5,3.0839
524,2.7968
524.5,2.6438
525,2.7125
525.5,3.0137
526,2.8717
526.5,3.2413
527,3.5887
527.5,3.3829
528,3.0608
528.5,2.9536
529,3.5658
529.5,4.5473
530,5.3917
530.5,5.2226
531,7.2147
531.5,14.3168
532,73.406
532.5,213.6293
533,468.0047
533.5,768.1087
534,969.9745
534.5,999.999
535,999.999
535.5,999.999
536,999.999
536.5,999.999
537,847.4492
537.5,485.2269
538,143.6399
538.5,76.0325
539,25.7087
539.5,11.9988
540,4.7059
540.5,5.7741
541,4.8852
541.5,4.2026
542,3.8516
542.5,3.5839
543,3.13
543.5,2.869
544,3.1185
544.5,3.3959
545,3.2406
545.5,2.8682
546,2.8715
546.5,3.0443
547,3.143
547.5,3.1743
548,3.1539
548.5,3.2399
549,2.9366
549.5,3.0029
550,2.8778
550.5,2.7296
551,2.1718
551.5,2.0856
552,2.1858
552.5,2.2808
553,2.3529
553.5,2.3185
554,2.3346
554.5,2.6467
555,2.4758
555.5,2.1913
556,2.4469
556.5,2.4813
557,1.837
557.5,1.2866
558,1.4922
558.5,2.0865
559,2.1794
559.5,1.4208
560,0.3009
560.5,0.7339
561,2.0418
561.5,2.6547
562,2.7804
562.5,3.2649
563,5.283
563.5,8.4421
564,19.327
564.5,41.2624
565,80.9978
565.5,131.6729
566,184.3417
566.5,230.9149
567,266.7646
567.5,295.1006
568,305.8793
568.5,294.9644
569,259.3673
569.5,212.0709
570,164.4576
570.5,119.9166
571,77.9384
571.5,40.4079
572,16.3771
572.5,6.2466
573,2.7628
573.5,2.1206
574,2.507
574.5,2.6711
575,2.3176
575.5,1.7511
576,1.8516
576.5,2.5067
577,2.6924
577.5,2.4522
578,1.9291
578.5,2.0327
579,2.0601
579.5,2.3799
580,2.2296
580.5,2.289
581,2.1122
581.5,2.2309
582,1.9215
582.5,1.767
583,1.8339
583.5,1.7497
584,1.4974
584.5,0.7042
585,0.514
585.5,0.8102
586,1.1251
586.5,0.6619
587,0.2685
587.5,0.2231
588,0.3082
588.5,0.2335
589,0.3403
589.5,0.4672
590,0.6462
590.5,0.397
591,0.4159
591.5,0.7508
592,1.2996
592.5,1.888
593,2.6909
593.5,3.2288
594,3.3393
594.5,2.9445
595,2.4371
595.5,2.1125
596,1.9836
596.5,1.6561
597,1.343
597.5,1.0975
598,0.9547
598.5,1.0577
599,0.7387
599.5,0.4565
600,0.3992
600.5,0.5803
601,0.3683
601.5,0.397
602,0.6629
602.5,0.8519
603,0.8195
603.5,0.4668
604,0.3014
604.5,0.2315
605,0.7389
605.5,0.9184
606,0.7114
606.5,0.4215
607,1.1448
607.5,1.3399
608,0.9739
608.5,0.3485
609,0.7209
609.5,0.92
610,0.9435
610.5,0.4792
611,0.5379
611.5,0.8357
612,1.0897
612.5,1.9536
613,3.5874
613.5,5.0183
614,7.6082
614.5,12.1107
615,18.6848
615.5,25.4595
616,31.3493
616.5,34.3621
617,33.7715
617.5,29.582
618,22.7194
618.5,14.6427
619,8.8348
619.5,5.3338
620,3.3029
620.5,1.4213
621,0.5505
621.5,0.1989
622,-0.0161
622.5,0.391
623,0.5182
623.5,0.2966
624,-0.016
624.5,0.021
625,0.0903
625.5,0.1042
626,-0.0175
626.5,0.4832
627,0.5862
627.5,0.3689
628,0.859
628.5,1.6196
629,1.1845
629.5,0.336
630,0.5597
630.5,1.4338
631,1.6735
631.5,2.0539
632,1.5658
632.5,1.1736
633,1.1542
633.5,1.3992
634,1.0432
634.5,0.3469
635,0.2086
635.5,-0.0185
636,0.2695
636.5,0.4527
637,0.2728
637.5,0.2766
638,0.7035
638.5,0.9537
639,0.9423
639.5,0.6876
640,0.2784
640.5,-0.1511
641,0.2493
641.5,0.379
642,0.3347
642.5,0.3229
643,0.5032
643.5,0.333
644,-0.0221
644.5,0.2865
645,0.8107
645.5,1.1071
646,0.6204
646.5,0.7696
647,0.6806
647.5,0.606
648,0.4604
648.5,0.6584
649,0.6496
649.5,0.9648
650,1.4451
650.5,0.9525
651,0.2638
651.5,0.3985
652,0.7017
652.5,0.4888
653,-0.0785
653.5,0.5459
654,0.6082
654.5,1.0502
655,1.1321
655.5,1.4937
656,1.6013
656.5,3.0717
657,4.9452
657.5,6.125
658,7.0316
658.5,8.3048
659,8.5327
659.5,8.2073
660,7.2646
660.5,6.5642
661,5.1245
661.5,4.1713
662,3.0271
662.5,2.1665
663,2.0334
663.5,2.9015
664,3.5342
664.5,3.5293
665,2.9454
665.5,2.7771
666,2.3331
666.5,2.2852
667,2.4477
667.5,2.4055
668,1.3565
668.5,0.6162
669,0.818
669.5,1.295
670,1.3076
670.5,1.0831
671,0.8223
671.5,0.6474
672,0.4503
672.5,0.9218
673,1.3415
673.5,0.8822
674,0.4374
674.5,0.5581
675,0.988
675.5,1.5428
676,2.2551
676.5,2.8034
677,3.1079
677.5,3.5195
678,3.5377
678.5,3.6262
679,3.7033
679.5,4.0054
680,3.9909
680.5,3.6817
681,3.3687
681.5,3.753
682,4.0448
682.5,4.3667
683,5.4476
683.5,7.7685
684,12.8028
684.5,21.0524
685,31.7113
685.5,40.8844
686,45.6679
686.5,45.1867
687,42.1375
687.5,38.9551
688,35.6409
688.5,31.1123
689,24.3964
689.5,15.9523
690,9.2246
690.5,5.5617
691,4.0915
691.5,2.7007
692,2.5423
692.5,2.96
693,3.9508
693.5,4.9807
694,8.9617
694.5,16.3862
695,26.5022
695.5,34.2832
696,37.6897
696.5,36.4357
697,34.4985
697.5,32.5427
698,30.4601
698.5,28.3952
699,24.9606
699.5,18.7587
700,11.637