Tensão (V),I (micro A)
0.97,1.54
1.99,3.46
3.91,11.42
6.35,24.74
8.09,35.56
10.14,48.97
11.94,60.48
14.03,72.72
16.01,82.82
18.56,93.27
20.08,98.18
22.88,105.09
25.02,109.13
30.12,115.65
35.12,119.31
40.36,121.65
45.3,123.18
51.7,124.69
27.27,112.4
33.11,117.93
37.79,120.49
42.65,122.33
47.5,123.68
60.07,126.05
69.06,127.28
80.82,128.63
90.24,129.57
101.05,130.54
120.44,132.01
141.12,133.31
161.98,134.33
180.07,135.14
201.7,136
252,137.82
300.4,139.29
352.9,140.57
400.6,141.64
450.8,142.56
509.8,143.38