comp,int (ex 250 vidro),int (ex 250 plast),int (ex 300 vidro),int (ex 300 plast)
472.5,9.7973,3.2319,7.1533,7.6055
473,9.7655,3.284,7.0849,7.6056
473.5,9.6422,3.2765,7.0179,7.6326
474,9.571,3.2803,6.9615,7.6185
474.5,9.6316,3.3525,6.8989,7.598
475,9.616,3.4043,6.7952,7.5792
475.5,9.5433,3.5154,6.7381,7.5872
476,9.5287,3.5618,6.7058,7.5805
476.5,9.5159,3.6092,6.6321,7.5777
477,9.5512,3.6524,6.5443,7.5633
477.5,9.688,3.686,6.5186,7.5388
478,9.7574,3.7438,6.4702,7.5112
478.5,9.8201,3.8104,6.421,7.524
479,9.9001,3.9137,6.3534,7.544
479.5,10.028,3.9999,6.2575,7.5352
480,10.1194,4.0971,6.2106,7.4909
480.5,10.1703,4.226,6.1472,7.4688
481,10.2333,4.2956,6.0794,7.4182
481.5,10.2496,4.3419,6.0097,7.3757
482,10.3432,4.337,5.9716,7.3105
482.5,10.3759,4.4444,5.9156,7.2575
483,10.3632,4.4659,5.884,7.2611
483.5,10.3343,4.4995,5.8025,7.2239
484,10.3463,4.5501,5.7477,7.1562
484.5,10.41,4.6556,5.6295,7.1011
485,10.2853,4.6427,5.5391,7.0869
485.5,10.3243,4.6723,5.4718,7.0643
486,10.3849,4.6135,5.3814,7.0487
486.5,10.3938,4.5809,5.3021,7.0413
487,10.408,4.5839,5.268,7.011
487.5,10.4345,4.515,5.2454,7.0297
488,10.3409,4.4448,5.1795,7.0418
488.5,10.292,4.411,5.1472,7.0742
489,10.2954,4.3722,5.1218,7.0866
489.5,10.2352,4.3211,5.1144,7.0838
490,10.1819,4.2537,5.1213,7.0756
490.5,10.0582,4.1936,5.0898,7.0689
491,10.002,4.0423,5.1189,7.0348
491.5,9.9825,3.9411,5.1487,6.9948
492,9.9186,3.8011,5.1601,6.914
492.5,9.8508,3.7461,5.1926,6.8849
493,9.7677,3.7259,5.2088,6.8435
493.5,9.725,3.7421,5.1585,6.7801
494,9.7308,3.7451,5.133,6.7343
494.5,9.6786,3.782,5.0538,6.6951
495,9.5466,3.7163,5.0466,6.7233
495.5,9.505,3.7352,4.9847,6.732
496,9.4465,3.7215,4.919,6.727
496.5,9.3475,3.7661,4.8834,6.7324
497,9.1869,3.7633,4.8495,6.7374
497.5,8.9838,3.738,4.8053,6.7654
498,8.8531,3.7783,4.7703,6.8155
498.5,8.7341,3.8676,4.7401,6.8636
499,8.632,3.8872,4.7312,6.9235
499.5,8.529,3.8703,4.7181,6.9788
500,8.4131,3.8542,4.7153,7.0289
500.5,8.3158,3.8883,4.7005,7.048
501,8.2286,3.8238,4.7209,7.0605
501.5,8.175,3.798,4.7284,7.0637
502,8.1055,3.8229,4.7136,7.0724
502.5,8.08,3.9332,4.7408,7.0722
503,8.0095,3.9884,4.686,7.0732
503.5,8.028,4.0254,4.6088,7.0808
504,8.0441,4.0679,4.5841,7.071
504.5,8.0299,4.0889,4.537,7.0929
505,7.9747,4.0066,4.5314,7.1079
505.5,7.9264,3.9583,4.4732,7.1212
506,7.8631,3.9349,4.4308,7.1038
506.5,7.7217,3.9292,4.3769,7.0861
507,7.6713,3.8637,4.3099,7.0853
507.5,7.6305,3.8427,4.2795,7.0796
508,7.5453,3.7983,4.2285,7.0884
508.5,7.3918,3.7843,4.2111,7.0944
509,7.3402,3.6876,4.1916,7.0924
509.5,7.2947,3.5928,4.1612,7.0682
510,7.0793,3.5276,4.1494,7.0781
510.5,6.9447,3.4398,4.1056,7.0705
511,6.8081,3.2758,4.0732,7.0884
511.5,6.732,3.1395,4.064,7.0917
512,6.5865,3.0375,4.0458,7.1057
512.5,6.3925,2.8957,4.0085,7.109
513,6.3087,2.7122,3.9499,7.1443
513.5,6.2922,2.559,3.925,7.1568
514,6.2935,2.4311,3.9254,7.168
514.5,6.3178,2.229,3.8971,7.2005
515,6.2571,2.0672,3.8665,7.1744
515.5,6.2343,1.9462,3.8266,7.1764
516,6.1722,1.8753,3.8038,7.1621
516.5,6.1544,1.7968,3.7578,7.144
517,6.2671,1.7167,3.7016,7.155
517.5,6.2597,1.7023,3.6549,7.1626
518,6.1677,1.6884,3.6138,7.1718
518.5,6.1132,1.7026,3.6133,7.1714
519,6.0448,1.6845,3.5964,7.1654
519.5,5.9582,1.6929,3.5727,7.1626
520,5.7201,1.7092,3.554,7.1421
520.5,5.593,1.6973,3.525,7.1519
521,5.4679,1.6757,3.5284,7.1853
521.5,5.3633,1.6548,3.5185,7.196
522,5.1509,1.6436,3.5012,7.1825
522.5,5.0793,1.6517,3.4488,7.1852
523,5.072,1.6241,3.4133,7.1927
523.5,5.0229,1.5992,3.3687,7.1876
524,5,1.5677,3.3417,7.215
524.5,5.0007,1.5469,3.281,7.196
525,4.9983,1.5644,3.2483,7.1869
525.5,5.0599,1.5501,3.2024,7.2043
526,5.0684,1.5433,3.1559,7.2464
526.5,5.1239,1.5481,3.0712,7.2666
527,5.1464,1.5441,3.0184,7.2767
527.5,5.1389,1.5279,2.9982,7.3199
528,5.143,1.4433,3.0186,7.3391
528.5,5.1551,1.4081,3.0234,7.3526
529,5.1328,1.3754,3.0138,7.381
529.5,5.1292,1.3057,2.9568,7.4153
530,5.0562,1.279,2.9186,7.438
530.5,5.0539,1.2169,2.8844,7.4987
531,5.0061,1.1717,2.8684,7.4837
531.5,4.9529,1.1514,2.8604,7.4321
532,4.8736,1.1399,2.8614,7.4215
532.5,4.866,1.0671,2.8101,7.4507
533,4.8046,1.0201,2.7817,7.464
533.5,4.7008,0.9956,2.7747,7.471
534,4.6328,0.9843,2.7615,7.4824
534.5,4.5596,0.9954,2.732,7.4457
535,4.5208,1.0142,2.7319,7.4793
535.5,4.4807,1.043,2.7098,7.4776
536,4.3936,1.1064,2.7171,7.4922
536.5,4.3328,1.1625,2.7083,7.4972
537,4.2676,1.2096,2.7467,7.48
537.5,4.3306,1.2442,2.7731,7.5532
538,4.3278,1.274,2.7807,7.5779
538.5,4.356,1.341,2.7565,7.5929
539,4.3535,1.3723,2.7394,7.6278
539.5,4.3326,1.3943,2.7218,7.6585
540,4.3505,1.4548,2.6988,7.6771
540.5,4.3392,1.4762,2.6953,7.6908
541,4.2462,1.4988,2.7034,7.6503
541.5,4.2426,1.508,2.6903,7.6486
542,4.1859,1.516,2.6942,7.6864
542.5,4.1635,1.4585,2.6793,7.677
543,4.1077,1.4475,2.6733,7.6734
543.5,3.9679,1.4508,2.6582,7.6831
544,3.8379,1.4431,2.6249,7.6585
544.5,3.7153,1.4115,2.6096,7.6718
545,3.6604,1.401,2.5799,7.6651
545.5,3.6574,1.3889,2.5367,7.667
546,3.623,1.4033,2.5288,7.6625
546.5,3.5948,1.3902,2.5133,7.6628
547,3.6207,1.3747,2.5115,7.7081
547.5,3.6544,1.3415,2.4852,7.7509
548,3.6815,1.3093,2.4665,7.7703
548.5,3.7228,1.3103,2.4455,7.7993
549,3.7572,1.3061,2.4452,7.8532
549.5,3.7493,1.3059,2.4177,7.8665
550,3.8127,1.2959,2.3859,7.8981
550.5,3.8252,1.3076,2.3653,7.9294
551,3.8681,1.3139,2.3492,7.9686
551.5,3.961,1.338,2.3322,8.003
552,4.0018,1.3766,2.3447,8.0583
552.5,4.0108,1.387,2.3234,8.1326
553,3.9942,1.4221,2.305,8.2421
553.5,3.9138,1.4675,2.2998,8.2885
554,3.8656,1.4913,2.2888,8.2998
554.5,3.8098,1.4986,2.2629,8.3292
555,3.8482,1.5422,2.2462,8.3262
555.5,3.8477,1.5657,2.2559,8.381
556,3.7722,1.5787,2.2862,8.3775
556.5,3.7349,1.5775,2.2959,8.4376
557,3.7408,1.5599,2.3055,8.4846
557.5,3.6807,1.5563,2.3028,8.5305
558,3.6673,1.5714,2.3155,8.5574
558.5,3.5567,1.577,2.3171,8.5826
559,3.5038,1.5585,2.3175,8.6375
559.5,3.4396,1.5363,2.2924,8.7091
560,3.4568,1.5399,2.2573,8.8408
560.5,3.4453,1.5392,2.2084,8.9477
561,3.4405,1.5492,2.184,9.0939
561.5,3.4003,1.5527,2.1727,9.2949
562,3.3643,1.5545,2.1393,9.6047
562.5,3.2998,1.5559,2.1074,10.0285
563,3.2683,1.5612,2.0906,10.5915
563.5,3.2205,1.5645,2.0774,11.1672
564,3.2383,1.573,2.0715,11.8987
564.5,3.2222,1.579,2.0578,12.8635
565,3.2553,1.5816,2.0606,14.0823
565.5,3.2319,1.5687,2.0835,15.6209
566,3.2389,1.5663,2.1032,17.4466
566.5,3.2702,1.5636,2.0987,19.5987
567,3.277,1.5321,2.1113,22.3735
567.5,3.2734,1.5256,2.1072,25.3717
568,3.2529,1.5389,2.136,28.9666
568.5,3.2105,1.5473,2.1644,32.982
569,3.234,1.5185,2.1758,37.7509
569.5,3.2764,1.5434,2.1725,44.1102
570,3.1898,1.5765,2.1627,51.2272
570.5,3.1207,1.5978,2.1602,59.3356
571,3.0949,1.6252,2.1572,67.8942
571.5,3.0094,1.6371,2.1702,77.4347
572,2.9149,1.6293,2.1523,87.562
572.5,2.8598,1.6355,2.1305,99.277
573,2.8395,1.6265,2.1427,112.4002
573.5,2.8832,1.6521,2.1437,126.3485
574,2.8658,1.6748,2.1702,141.537
574.5,2.8487,1.6934,2.1711,157.1665
575,2.8085,1.6743,2.1971,174.6701
575.5,2.7962,1.6786,2.2442,193.0092
576,2.7805,1.6798,2.2521,213.0479
576.5,2.6928,1.6705,2.2561,235.8223
577,2.6289,1.662,2.2951,261.317
577.5,2.5221,1.6724,2.3254,289.2796
578,2.4388,1.6921,2.4025,319.1576
578.5,2.3717,1.6788,2.463,350.2989
579,2.3303,1.6624,2.5208,382.8363
579.5,2.2982,1.696,2.5696,418.5089
580,2.1566,1.6832,2.6151,454.9199
580.5,2.1103,1.6717,2.6764,493.0104
581,2.1505,1.6767,2.7584,532.2364
581.5,2.124,1.6842,2.8421,572.0457
582,2.1677,1.7063,2.8998,612.49
582.5,2.2396,1.7236,2.9905,654.203
583,2.3267,1.7457,3.0973,696.6247
583.5,2.3897,1.7778,3.1951,738.2763
584,2.3382,1.8175,3.3162,778.4711
584.5,2.365,1.8457,3.435,816.0787
585,2.3914,1.8149,3.5617,851.605
585.5,2.417,1.858,3.6917,883.3724
586,2.3834,1.8703,3.8071,912.4542
586.5,2.3034,1.8474,3.9696,938.4629
587,2.2787,1.8633,4.1187,960.3953
587.5,2.1993,1.8402,4.2635,977.9799
588,2.1909,1.8161,4.3963,990.5912
588.5,2.1432,1.8186,4.5308,999.0932
589,2.1006,1.8342,4.7036,999.999
589.5,2.0829,1.8358,4.8755,999.999
590,1.982,1.8132,5.0669,999.999
590.5,1.9796,1.846,5.2467,999.999
591,2.0384,1.9002,5.4323,999.999
591.5,2.0009,1.9474,5.5891,999.999
592,1.9636,1.9845,5.8093,999.999
592.5,1.9401,1.9577,5.998,999.999
593,1.8996,1.8998,6.159,999.999
593.5,1.8597,1.915,6.3318,999.999
594,1.8192,1.9442,6.5372,999.999
594.5,1.8378,1.9315,6.747,999.999
595,1.8542,1.9172,6.9755,999.999
595.5,1.8371,1.9571,7.1933,999.999
596,1.83,1.9766,7.4266,999.999
596.5,1.8226,1.9949,7.6591,999.999
597,1.8196,2.0162,7.8268,999.999
597.5,1.8124,2.0479,8.0042,999.999
598,1.7873,2.0675,8.2108,999.999
598.5,1.7989,2.1777,8.4161,999.999
599,1.7523,2.3236,8.6332,996.2407
599.5,1.7522,2.2774,8.8317,987.0511
600,1.655,2.355,8.9752,973.5746
,,,9.0581,955.5659
,,,9.1153,935.0965
,,,9.1365,909.7005
,,,9.1315,880.1133
,,,8.9881,847.0548
,,,8.8447,810.9614
,,,8.7044,772.1146
,,,8.5494,731.2893
,,,8.3457,688.7854
,,,8.0976,645.1398
,,,7.8095,602.1751
,,,7.5058,559.7504
,,,7.1518,517.499
,,,6.7947,475.424
,,,6.4412,434.3698
,,,6.0914,393.5073
,,,5.7021,354.9331
,,,5.3455,318.3638
,,,4.9539,283.5545
,,,4.5773,250.0527
,,,4.2189,219.0375
,,,3.8685,191.5564
,,,3.5443,164.8305
,,,3.1907,141.03
,,,2.8697,120.0582
,,,2.6188,101.4417
,,,2.402,84.9047
,,,2.1928,70.3138
,,,2.0007,57.1213
,,,1.8213,45.6172
,,,1.6946,36.4344
,,,1.571,29.3094
,,,1.4543,24.1086
,,,1.3722,20.0689
,,,1.2969,17.1651
,,,1.2211,14.5487
,,,1.1732,12.8853
,,,1.1398,11.5149
,,,1.0996,10.7601
,,,1.0959,10.5693
,,,1.0798,10.3603
,,,1.0834,10.3385
,,,1.0764,10.1983
,,,1.0817,10.1247
,,,1.0812,10.0697
,,,1.0834,9.98
,,,1.0787,9.9623
,,,1.0804,9.958
,,,1.0853,9.9388
,,,1.1061,9.9266
,,,1.122,9.8851
,,,1.1301,9.8733
,,,1.1236,9.8478
,,,1.1319,9.842
,,,1.1265,9.7938
,,,1.1039,9.7723
,,,1.0927,9.7074
,,,1.0879,9.6429
,,,1.0798,9.555
,,,1.061,9.4963
,,,1.0679,9.4576
,,,1.0943,9.4033
,,,1.1109,9.3985
,,,1.1311,9.3397
,,,1.123,9.2883
,,,1.1351,9.2209
,,,1.1536,9.2041
,,,1.1791,9.1453
,,,1.2155,9.0562
,,,1.2313,8.9679
,,,1.2289,8.9169
,,,1.2411,8.8668
,,,1.2249,8.8522
,,,1.2078,8.8579
,,,1.1829,8.8126
,,,1.1826,8.8001
,,,1.1717,8.7289
,,,1.1677,8.6657
,,,1.1452,8.6492
,,,1.12,8.651
,,,1.123,8.619
,,,1.1243,8.6173
,,,1.1351,8.5637
,,,1.1357,8.4918
,,,1.1402,8.4461
,,,1.1632,8.3909
,,,1.1901,8.3307
,,,1.2105,8.2568
,,,1.2456,8.2481
,,,1.2378,8.2144
,,,1.2427,8.1708
,,,1.2694,8.1396
,,,1.2671,8.1345
,,,1.263,8.1323
,,,1.2599,8.0962
,,,1.2634,8.0566
,,,1.2497,8.0354
,,,1.2274,7.9843
,,,1.1817,7.9579
,,,1.1683,7.8867
,,,1.1593,7.8248
,,,1.1516,7.7936
,,,1.1304,7.717
,,,1.1285,7.6886
,,,1.1236,7.6806
,,,1.122,7.6585
,,,1.1161,7.5773
,,,1.1149,7.5336
,,,1.1304,7.5123
,,,1.1224,7.4473
,,,1.1329,7.3891
,,,1.1267,7.3816
,,,1.1278,7.3512
,,,1.1325,7.318
,,,1.1487,7.2514
,,,1.1722,7.1995
,,,1.1971,7.1627
,,,1.2078,7.0888
,,,1.2113,7.0439
,,,1.2295,6.9856
,,,1.2373,6.9563
,,,1.2444,6.8897
,,,1.2402,6.8305
,,,1.255,6.8136
,,,1.2466,6.797
,,,1.2452,6.7442
,,,1.2505,6.6947
,,,1.2525,6.6583
,,,1.2629,6.6309
,,,1.248,6.5871
,,,1.222,6.5556
,,,1.2258,6.5487
,,,1.2383,6.4939
,,,1.2684,6.4763
,,,1.2945,6.4689
,,,1.3137,6.4416
,,,1.3341,6.4181
,,,1.3502,6.3679
,,,1.3528,6.3238
,,,1.3723,6.2712
,,,1.3845,6.2342
,,,1.3775,6.19
,,,1.3653,6.1563
,,,1.4016,6.1755
,,,1.4213,6.1459
,,,1.4349,6.0869
,,,1.4545,6.0298
,,,1.4555,5.9443
,,,1.4624,5.9246
,,,1.4955,5.8927
,,,1.5375,5.8695
,,,1.6043,5.8267
,,,1.6223,5.7772
,,,1.6475,5.743
,,,1.6287,5.685
,,,1.6191,5.6006
,,,1.6243,5.5335
,,,1.6203,5.4838
,,,1.6244,5.4456
,,,1.6333,5.4163
,,,1.6232,5.3981
,,,1.627,5.4025
,,,1.6506,5.348
,,,1.7086,5.3476
,,,1.7204,5.3097
,,,1.7264,5.2869
,,,1.7558,5.281
,,,1.7896,5.2905
,,,1.8448,5.3276
,,,1.9053,5.3378
,,,1.9548,5.3536
,,,1.9902,5.3306
,,,1.9951,5.3198
,,,1.9812,5.2775
,,,1.9843,5.2425
,,,1.9876,5.2049
,,,2.0039,5.1975
,,,2.0387,5.2004
,,,2.0942,5.1795
,,,2.1135,5.1754
,,,2.115,5.1343
,,,2.1384,5.1127
,,,2.1826,5.078
,,,2.201,5.0874
,,,2.2167,5.1058
,,,2.2389,5.1181
,,,2.2902,5.0985
,,,2.3251,5.0745
,,,2.329,5.0198
,,,2.3713,5.0017
,,,2.4241,4.9746
,,,2.4419,4.9134
,,,2.4755,4.8707
,,,2.4746,4.8173
,,,2.5201,4.7778
,,,2.5247,4.7446
,,,2.5684,4.7077
,,,2.616,4.6624
,,,2.6415,4.6331
,,,2.6373,4.6317
,,,2.6189,4.6226
,,,2.6372,4.653
,,,2.6547,4.6624
,,,2.6462,4.6873
,,,2.6643,4.6922
,,,2.6856,4.6831
,,,2.7253,4.639
,,,2.7344,4.6083
,,,2.741,4.579
,,,2.7921,4.5938
,,,2.8074,4.5606
,,,2.816,4.5182
,,,2.8298,4.4965
,,,2.817,4.4771
,,,2.8597,4.4064
,,,2.8738,4.3472
,,,2.9046,4.3143
,,,2.9221,4.2982
,,,2.9282,4.2958
,,,2.9327,4.3112
,,,2.9201,4.3418
,,,2.9383,4.33
,,,2.9399,4.3205
,,,2.9534,4.3293
,,,2.9725,4.2987
,,,2.9848,4.279
,,,3.0206,4.2592
,,,3.0259,4.2585
,,,3.015,4.242
,,,3.0248,4.2251
,,,3.0294,4.1932
,,,3.036,4.1764
,,,3.0323,4.1497
,,,3.0244,4.1282
,,,3.043,4.0743
,,,3.0504,4.0609
,,,3.0556,4.0779
,,,3.0496,4.0533
,,,3.0559,4.0721
,,,3.0784,4.0797
,,,3.0784,4.0649
,,,3.1018,4.0564
,,,3.099,4.0638
,,,3.1163,4.0444
,,,3.1304,4.0155
,,,3.1378,3.9837
,,,3.1459,3.96
,,,3.1409,3.9247
,,,3.1423,3.8835
,,,3.1572,3.8585
,,,3.1813,3.8007
,,,3.2037,3.7618
,,,3.213,3.7176
,,,3.234,3.7126
,,,3.2309,3.6963
,,,3.2449,3.7014
,,,3.2599,3.688
,,,3.28,3.6689
,,,3.2929,3.7181
,,,3.3227,3.6903
,,,3.3341,3.6671
,,,3.3601,3.6835
,,,3.3513,3.6842
,,,3.3482,3.6753
,,,3.3338,3.6351
,,,3.2904,3.5796
,,,3.2419,3.5405
,,,3.2327,3.4936
,,,3.2335,3.4429
,,,3.2084,3.3825
,,,3.2028,3.3444
,,,3.1896,3.3323
,,,3.1728,3.3028
,,,3.1792,3.3111
,,,3.1695,3.3068
,,,3.2058,3.3081
,,,3.2111,3.3071
,,,3.2332,3.3328
,,,3.2542,3.3605
,,,3.2578,3.3206
,,,3.2623,3.3271
,,,3.2976,3.3576
,,,3.3116,3.3606
,,,3.3159,3.3534
,,,3.3328,3.3149
,,,3.3341,3.2898
,,,3.3347,3.283
,,,3.3447,3.2687
,,,3.3368,3.2654
,,,3.3211,3.2446
,,,3.3002,3.2351
,,,3.2957,3.216
,,,3.2969,3.1883
,,,3.3064,3.1517
,,,3.2873,3.1307
,,,3.2676,3.15
,,,3.2335,3.1629
,,,3.2276,3.1622
,,,3.1868,3.1539
,,,3.1642,3.155
,,,3.1874,3.1595
,,,3.2245,3.1708
,,,3.2226,3.1611
,,,3.2173,3.1414
,,,3.2249,3.1225
,,,3.2191,3.1126
,,,3.2129,3.1129
,,,3.1789,3.1006
,,,3.1407,3.0878
,,,3.121,3.0523
,,,3.0921,3.0544
,,,3.0692,3.04
,,,3.0581,2.9905
,,,3.0206,2.9472
,,,2.993,2.9758
,,,2.9856,2.9779
,,,2.9722,2.9677
,,,2.9534,2.9786
,,,2.9464,3.0044
,,,2.9723,2.9817
,,,2.9858,2.9504
,,,3.0055,2.9605
,,,3.007,2.9468
,,,3.0273,2.932
,,,3.0552,2.9262
,,,3.059,2.9122
,,,3.037,2.9062
,,,3.0059,2.8986
,,,2.9707,2.8832
,,,2.9439,2.892
,,,2.8977,2.8992
,,,2.8533,2.8767
,,,2.8365,2.8749
,,,2.8239,2.8704
,,,2.8288,2.8668
,,,2.8201,2.8369
,,,2.8077,2.8477
,,,2.8001,2.8542
,,,2.823,2.8667
,,,2.8175,2.8155
,,,2.828,2.8276
,,,2.8363,2.8292
,,,2.8287,2.8195
,,,2.8293,2.8219
,,,2.8135,2.8193
,,,2.7763,2.8066
,,,2.7437,2.7991
,,,2.7255,2.7726
,,,2.6634,2.7168
,,,2.6162,2.7219
,,,2.5884,2.6916
,,,2.5765,2.6668
,,,2.5836,2.6494
,,,2.5934,2.6238
,,,2.562,2.598
,,,2.5638,2.5716
,,,2.5915,2.5791
,,,2.6356,2.5788
,,,2.6543,2.5748
,,,2.6386,2.5346
,,,2.627,2.5349
,,,2.593,2.5237
,,,2.5644,2.5277
,,,2.5497,2.5521
,,,2.5056,2.5448
,,,2.485,2.554
,,,2.4514,2.5267
,,,2.4098,2.5079
,,,2.3722,2.4814
,,,2.3307,2.4829
,,,2.3044,2.4736
,,,2.2765,2.4696
,,,2.2413,2.471
,,,2.2093,2.4603
,,,2.2049,2.4316
,,,2.231,2.4304
,,,2.2433,2.4405
,,,2.2378,2.4086
,,,2.2124,2.3659
,,,2.1778,2.3187
,,,2.1608,2.266
,,,2.128,2.2397
,,,2.1118,2.2169
,,,2.0795,2.1935
,,,2.0614,2.1728
,,,2.0611,2.1815
,,,2.0333,2.153
,,,2.0098,2.168
,,,2.0133,2.175
,,,2.0133,2.1736
,,,2.0215,2.1796
,,,2.0337,2.1998
,,,2.0264,2.1951
,,,2.0436,2.2074
,,,2.0421,2.2115
,,,2.0369,2.2187
,,,2.0246,2.198
,,,2.0063,2.1652
,,,1.9942,2.1348
,,,1.9575,2.0959
,,,1.9361,2.0509
,,,1.8999,2.0335
,,,1.8839,1.9982
,,,1.8753,1.9655
,,,1.8792,1.9434
,,,1.8742,1.9293
,,,1.8619,1.9119
,,,1.859,1.8953
,,,1.8706,1.8921
,,,1.8824,1.8795
,,,1.8785,1.877
,,,1.8714,1.8855
,,,1.844,1.8739
,,,1.8552,1.8839
,,,1.8387,1.8743
,,,1.8406,1.8803
,,,1.8216,1.8785
,,,1.8088,1.879
,,,1.8272,1.876
,,,1.8152,1.879
,,,1.8181,1.8691
,,,1.8153,1.8545
,,,1.8223,1.8572
,,,1.8198,1.8484
,,,1.8052,1.8569
,,,1.7866,1.8595
,,,1.74,1.8476
,,,1.6875,1.8362
,,,1.6407,1.8516
,,,1.598,1.858
,,,1.5512,1.8463
,,,1.5022,1.8302
,,,1.4669,1.8214
,,,1.4425,1.8075
,,,1.4119,1.8121
,,,1.3908,1.8137
,,,1.3678,1.8002
,,,1.3641,1.7947
,,,1.3793,1.773
,,,1.3642,1.7744
,,,1.3835,1.7844
,,,1.3974,1.7591
,,,1.4165,1.7561
,,,1.4021,1.7462
,,,1.3961,1.7306
,,,1.3895,1.6904
,,,1.3663,1.6965
,,,1.361,1.7068
,,,1.3246,1.6884
,,,1.3173,1.6854
,,,1.3075,1.6824
,,,1.29,1.6598
,,,1.2723,1.6468
,,,1.2605,1.6312
,,,1.249,1.6715
,,,1.2231,1.6635
,,,1.1822,1.6792
,,,1.1585,1.7091
,,,1.1254,1.7074
,,,1.1247,1.7363
,,,1.1363,1.7523
,,,1.1309,1.7107
,,,1.1391,1.7001
,,,1.1286,1.7029
,,,1.148,1.6889
,,,1.1348,1.676
,,,1.1188,1.6983
,,,1.1139,1.6844
,,,1.0934,1.6623
,,,1.0981,1.6509
,,,1.074,1.6173
,,,1.0447,1.5755
,,,1.0406,1.5472
,,,1.0205,1.5274
,,,0.9969,1.5262
,,,0.9784,1.5003
,,,0.9514,1.5047
,,,0.9438,1.485
,,,0.9553,1.4784
,,,0.9834,1.4739
,,,0.9996,1.4846
,,,1.0118,1.4722
,,,1.0206,1.4841
,,,0.9984,1.4956
,,,0.9949,1.4872
,,,0.9739,1.4882
,,,0.9722,1.4888
,,,0.9734,1.4747
,,,0.9396,1.455
,,,0.9178,1.4318
,,,0.8982,1.4123
,,,0.8902,1.4019
,,,0.8882,1.3714
,,,0.8646,1.3756
,,,0.8653,1.3606
,,,0.859,1.3668
,,,0.859,1.3473
,,,0.8705,1.3391
,,,0.8958,1.3667
,,,0.8916,1.376
,,,0.8976,1.398
,,,0.8894,1.4039
,,,0.865,1.4087
,,,0.8667,1.4114
,,,0.8706,1.4109
,,,0.8647,1.4121
,,,0.867,1.3838
,,,0.8614,1.3785
,,,0.8493,1.3835
,,,0.8607,1.3946
,,,0.857,1.3765
,,,0.8447,1.3713
,,,0.8287,1.3693
,,,0.8149,1.3801
,,,0.8124,1.3561
,,,0.8091,1.3427
,,,0.8156,1.3323
,,,0.8165,1.3452
,,,0.8219,1.3418
,,,0.8184,1.3585
,,,0.8148,1.3576
,,,0.8102,1.3758
,,,0.8079,1.3909
,,,0.8211,1.4127
,,,0.8176,1.4391
,,,0.8207,1.4639
,,,0.8262,1.4792
,,,0.827,1.4991
,,,0.8322,1.5116
,,,0.8309,1.5116
,,,0.834,1.4986
,,,0.8307,1.519
,,,0.8257,1.5072
,,,0.8238,1.5003
,,,0.8296,1.491
,,,0.8291,1.4953
,,,0.8306,1.5032
,,,0.8235,1.5189
,,,0.8355,1.5168
,,,0.8298,1.5477
,,,0.8166,1.5675
,,,0.8146,1.6063
,,,0.8109,1.6449
,,,0.8121,1.707
,,,0.7997,1.7556
,,,0.7915,1.8004
,,,0.7767,1.8163
,,,0.7745,1.8291
,,,0.7671,1.8651
,,,0.7617,1.8897
,,,0.7393,1.9258
,,,0.7293,1.9497
,,,0.7167,1.9666
,,,0.6993,2.0333
,,,0.6998,2.0844
,,,0.693,2.135
,,,0.6993,2.1722
,,,0.6863,2.2218
,,,0.6883,2.2649
,,,0.6765,2.3441
,,,0.695,2.4154
,,,0.6986,2.4728
,,,0.6866,2.5456
,,,0.6812,2.6189
,,,0.6766,2.703
,,,0.6746,2.7797
,,,0.6624,2.8473
,,,0.6527,2.9237
,,,0.6358,3.0114
,,,0.6152,3.0747
,,,0.6056,3.1484
,,,0.6136,3.2161
,,,0.5933,3.3064
,,,0.5821,3.3892
,,,0.6076,3.4305
,,,0.5863,3.5086
,,,0.5847,3.5472
,,,0.5851,3.5793
,,,0.5847,3.6277
,,,0.5879,3.6957
,,,0.5962,3.6844
,,,0.5746,3.6769
,,,0.5618,3.6845
,,,0.5703,3.6619
,,,0.5737,3.6899
,,,0.5624,3.6775
,,,0.5634,3.6869
,,,0.5617,3.7088
,,,0.57,3.7293
,,,0.5858,3.7171
,,,0.5968,3.7325
,,,0.5979,3.7447
,,,0.6044,3.7568
,,,0.603,3.7773
,,,0.6122,3.7959
,,,0.6225,3.8424
,,,0.6131,3.8596
,,,0.6039,3.8198
,,,0.5659,3.7711
,,,0.444,4.034