(1)comp,(1)comp_ajuste,(1)comp_raman,(1)10-5,(1)5-5
350,361.3,893.5985133,9.079,0.973
350.5,361.8,931.848693,8.2629,0.7186
351,362.3,969.9932968,6.4951,0.7309
351.5,362.8,1008.032761,5.0486,0.8107
352,363.3,1045.96752,3.7969,0.8494
352.5,363.8,1083.798005,2.3142,0.8843
353,364.3,1121.524646,1.3634,0.9142
353.5,364.8,1159.14787,0.88,0.8787
354,365.3,1196.668101,0.7084,0.8039
354.5,365.8,1234.085761,0.6439,0.6955
355,366.3,1271.401271,0.6161,0.6256
355.5,366.8,1308.615049,0.6396,0.5741
356,367.3,1345.72751,0.6617,0.588
356.5,367.8,1382.739066,0.6793,0.6046
357,368.3,1419.65013,0.6888,0.5891
357.5,368.8,1456.461109,0.6907,0.5879
358,369.3,1493.172411,0.6897,0.5949
358.5,369.8,1529.784439,0.6886,0.6034
359,370.3,1566.297597,0.6732,0.6054
359.5,370.8,1602.712282,0.6559,0.6143
360,371.3,1639.028895,0.6501,0.6115
360.5,371.8,1675.247829,0.6427,0.6031
361,372.3,1711.369479,0.6405,0.5918
361.5,372.8,1747.394237,0.6399,0.5758
362,373.3,1783.322491,0.6495,0.6092
362.5,373.8,1819.154628,0.661,0.5695
363,374.3,1854.891035,0.6764,0.5504
363.5,374.8,1890.532093,0.6948,0.493
364,375.3,1926.078185,0.6825,0.453
364.5,375.8,1961.529689,0.6697,0.3875
365,376.3,1996.886982,0.6691,0.3645
365.5,376.8,2032.15044,0.6552,0.3687
366,377.3,2067.320435,0.641,0.3992
366.5,377.8,2102.397338,0.6324,0.4568
367,378.3,2137.381519,0.6474,0.5401
367.5,378.8,2172.273344,0.6453,0.5437
368,379.3,2207.07318,0.6484,0.5938
368.5,379.8,2241.781389,0.6484,0.594
369,380.3,2276.398332,0.6418,0.6025
369.5,380.8,2310.92437,0.6425,0.5691
370,381.3,2345.359859,0.6552,0.5851
370.5,381.8,2379.705156,0.6625,0.5926
371,382.3,2413.960614,0.6719,0.5969
371.5,382.8,2448.126586,0.6877,0.6072
372,383.3,2482.203421,0.7045,0.6128
372.5,383.8,2516.191469,0.7052,0.6133
373,384.3,2550.091075,0.7079,0.5975
373.5,384.8,2583.902584,0.7057,0.5837
374,385.3,2617.626339,0.719,0.6274
374.5,385.8,2651.262682,0.7262,0.6527
375,386.3,2684.811952,0.7258,0.667
375.5,386.8,2718.274487,0.7258,0.6507
376,387.3,2751.650622,0.743,0.6529
376.5,387.8,2784.940691,0.7789,0.7138
377,388.3,2818.145028,0.8398,0.8029
377.5,388.8,2851.263962,0.9431,0.9092
378,389.3,2884.297824,1.0136,1.0158
378.5,389.8,2917.24694,1.0914,1.1117
379,390.3,2950.111636,1.1853,1.243
379.5,390.8,2982.892236,1.2542,1.4247
380,391.3,3015.589062,1.3,1.4577
380.5,391.8,3048.202436,1.3295,1.555
381,392.3,3080.732675,1.3487,1.5647
381.5,392.8,3113.180099,1.3979,1.6403
382,393.3,3145.545022,1.4436,1.7808
382.5,393.8,3177.827759,1.4821,1.8782
383,394.3,3210.028622,1.4981,2.0019
383.5,394.8,3242.147923,1.5549,2.0805
384,395.3,3274.185971,1.6116,2.2012
384.5,395.8,3306.143074,1.6819,2.3838
385,396.3,3338.019538,1.7323,2.4577
385.5,396.8,3369.815668,1.7663,2.5789
386,397.3,3401.531768,1.7898,2.5477
386.5,397.8,3433.168139,1.8187,2.5466
387,398.3,3464.725082,1.8099,2.5568
387.5,398.8,3496.202894,1.7996,2.5082
388,399.3,3527.601875,1.8106,2.4677
388.5,399.8,3558.922318,1.816,2.4495
389,400.3,3590.164519,1.7818,2.3678
389.5,400.8,3621.328771,1.7567,2.2309
390,401.3,3652.415364,1.712,2.0756
390.5,401.8,3683.424589,1.683,1.8823
391,402.3,3714.356734,1.6455,1.6902
391.5,402.8,3745.212087,1.604,1.4966
392,403.3,3775.990932,1.5519,1.3653
392.5,403.8,3806.693554,1.5084,1.3131
393,404.3,3837.320236,1.4713,1.3181
393.5,404.8,3867.871259,1.4313,1.3292
394,405.3,3898.346904,1.363,1.2918
394.5,405.8,3928.747448,1.2939,1.1848
395,406.3,3959.073169,1.2349,1.1123
395.5,406.8,3989.324343,1.1918,1.0063
396,407.3,4019.501245,1.1628,0.9384
396.5,407.8,4049.604148,1.1218,0.8974
397,408.3,4079.633323,1.0866,0.8865
397.5,408.8,4109.589041,1.0598,0.8981
398,409.3,4139.471572,1.029,0.8779
398.5,409.8,4169.281182,0.994,0.8573
399,410.3,4199.01814,0.951,0.8219
399.5,410.8,4228.68271,0.9055,0.7094
400,411.3,4258.275155,0.8,0.692